"id","name_en","name_pt_BR","name_ja","aliases","source_games","role","element","range","area","power","accuracy","sp","recovery","effects","mastery","tags","teachable","availability"
"dark_bubbles","Dark Bubbles","Dark Bubbles","やみのアワ","やみのアワ","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"petit_dark","Petit Dark","Petit Dark","プチダーク","プチダーク","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"glare_eye","Glare Eye","Glare Eye","グレアーアイ","グレアーアイ","dawn_dusk | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","17","100","8","24","[{""type"":""damage""},{""type"":""status"",""status"":""atk_down"",""chance"":25,""duration"":3}]","reliable_effect","dark | melee","false","ready"
"nail_scratch","Nail Scratch","Nail Scratch","ナイルスクラッチ","ナイルスクラッチ","dawn_dusk | lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"night_fire","Night Fire","Night Fire","ナイトファイアー","ナイトファイアー","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"crazy_giggle","Crazy Giggle","Crazy Giggle","クレイジーギグル","クレイジーギグル","dawn_dusk | digimon_story_ds | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"pico_darts","Pico Darts","Pico Darts","ピコダーツ","ピコダーツ","digimon_story_ds | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""},{""type"":""drain_hp"",""percentOfDamage"":35}]","swift","dark | melee","true","ready"
"shadow_nail","Shadow Nail","Shadow Nail","シャドウネイル","シャドウネイル","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"dark_crusher","Dark Crusher","Dark Crusher","ダーククラッシャー","ダーククラッシャー","dawn_dusk | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","32","100","4","24","[{""type"":""damage""}]","swift","dark | melee","false","ready"
"assassin_star","Assassin Star","Assassin Star","アサシンスター","アサシンスター","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","46","100","8","34","[{""type"":""damage""}]","swift","dark | melee","true","ready"
"darkness_blast","Darkness Blast","Darkness Blast","ヤミブラスト","ヤミブラスト","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","31","100","12","34","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","reliable_effect","dark | melee","false","ready"
"curse_slash","Curse Slash","Curse Slash","カーススラッシュ","カーススラッシュ","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","46","100","8","34","[{""type"":""damage""}]","swift","dark | melee","true","ready"
"poison_sting","Poison Sting","Poison Sting","ポイズンスティング","ポイズンスティング","dawn_dusk | lost_evolution","control","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","46","100","8","34","[{""type"":""damage""},{""type"":""drain_sp"",""amount"":6}]","swift","dark | melee","false","ready"
"poop_throw","Poop Throw","Poop Throw","ウンチなげ","ウンチなげ","digimon_story_ds | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","31","100","12","34","[{""type"":""damage""},{""type"":""status"",""status"":""atk_down"",""chance"":25,""duration"":3}]","reliable_effect","dark | melee","true","ready"
"kirisute_gomen","Kirisute Gomen","Kirisute Gomen","きりすてごめん","きりすてごめん","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","46","100","8","34","[{""type"":""damage""},{""type"":""drain_hp"",""percentOfDamage"":35}]","swift","dark | melee","false","requires_digixros"
"strong_maul","Strong Maul","Strong Maul","ストロングモール","ストロングモール","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","31","100","12","34","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","reliable_effect","dark | melee","true","ready"
"bloody_whip","Bloody Whip","Bloody Whip","ブラッディウィップ","ブラッディウィップ","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","46","100","8","34","[{""type"":""damage""},{""type"":""drain_sp"",""amount"":6}]","swift","dark | melee","false","ready"
"engentsugeri","Engentsugeri","Engentsugeri","えんげんつげり","えんげんつげり","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","47","95","17","48","[{""type"":""damage""},{""type"":""status"",""status"":""speed_down"",""chance"":25,""duration"":3}]","precise","dark | melee","true","ready"
"bit_bomb","Bit Bomb","Bit Bomb","ビットボム","ビットボム","dawn_dusk | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""}]","potent","dark | melee","true","ready"
"paradise_lost","Paradise Lost","Paradise Lost","パラダイスロスト","パラダイスロスト","digimon_story_ds | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","47","95","17","48","[{""type"":""damage""},{""type"":""status"",""status"":""atk_down"",""chance"":25,""duration"":3}]","precise","dark | melee","false","requires_digixros"
"death_blast","Death Blast","Death Blast","デスブラスト","デスブラスト","lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","100","13","48","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":40,""duration"":3}]","efficient","dark | melee","false","ready"
"01_crusher","01 Crusher","01 Crusher","01クラッシャー","01クラッシャー","dawn_dusk | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""}]","potent","dark | melee","true","ready"
"crimson_whip","Crimson Whip","Crimson Whip","クリムゾンウィップ","クリムゾンウィップ","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""},{""type"":""drain_sp"",""amount"":6}]","potent","dark | melee","true","ready"
